timestamp,node_id,cpu_percent,rss_bytes,process_count
1779341241.6589682,1,0.0,0,0
1779341241.6589682,2,0.0,0,0
1779341241.6589682,3,0.0,0,0
1779341241.6589682,4,0.0,0,0
1779341241.6589682,5,0.0,0,0
1779341291.0209336,1,0.0,52858880,17
1779341291.0209336,2,0.0,3284992,1
1779341291.0209336,3,0.0,3231744,1
1779341291.0209336,4,0.0,3293184,1
1779341291.0209336,5,0.0,3301376,1
1779341292.3174598,1,0.0,52858880,17
1779341292.3174598,2,0.0,3284992,1
1779341292.3174598,3,0.0,3231744,1
1779341292.3174598,4,0.0,3293184,1
1779341292.3174598,5,0.0,3301376,1
1779341293.70374,1,0.0,53272576,17
1779341293.70374,2,0.0,3284992,1
1779341293.70374,3,0.0,3231744,1
1779341293.70374,4,0.0,3293184,1
1779341293.70374,5,0.0,3477504,1
1779341295.1681077,1,0.0,53276672,17
1779341295.1681077,2,0.0,3284992,1
1779341295.1681077,3,0.0,3231744,1
1779341295.1681077,4,0.0,3293184,1
1779341295.1681077,5,0.0,3477504,1
1779341296.445225,1,0.0,53284864,17
1779341296.445225,2,0.0,3284992,1
1779341296.445225,3,0.0,3231744,1
1779341296.445225,4,0.0,3293184,1
1779341296.445225,5,0.0,3477504,1
1779341297.7552857,1,0.0,53284864,17
1779341297.7552857,2,0.0,3284992,1
1779341297.7552857,3,0.0,3231744,1
1779341297.7552857,4,0.0,3293184,1
1779341297.7552857,5,0.0,3477504,1
1779341299.0664363,1,0.0,53293056,17
1779341299.0664363,2,0.0,3284992,1
1779341299.0664363,3,0.0,3231744,1
1779341299.0664363,4,0.0,3293184,1
1779341299.0664363,5,0.8,3481600,1
1779341300.4087596,1,0.0,53293056,17
1779341300.4087596,2,0.0,3284992,1
1779341300.4087596,3,0.0,3231744,1
1779341300.4087596,4,0.0,3293184,1
1779341300.4087596,5,0.0,3481600,1
1779341301.691046,1,0.0,53301248,17
1779341301.691046,2,0.0,3284992,1
1779341301.691046,3,0.0,3231744,1
1779341301.691046,4,0.0,3293184,1
1779341301.691046,5,0.0,3489792,1
1779341303.0709374,1,0.0,53301248,17
1779341303.0709374,2,0.0,3284992,1
1779341303.0709374,3,0.0,3231744,1
1779341303.0709374,4,0.0,3293184,1
1779341303.0709374,5,0.0,3489792,1
1779341304.3518744,1,0.0,53309440,17
1779341304.3518744,2,0.0,3284992,1
1779341304.3518744,3,0.0,3231744,1
1779341304.3518744,4,0.0,3293184,1
1779341304.3518744,5,0.0,3489792,1
1779341305.627994,1,0.0,53309440,17
1779341305.627994,2,0.0,3284992,1
1779341305.627994,3,0.0,3231744,1
1779341305.627994,4,0.0,3293184,1
1779341305.627994,5,0.0,3489792,1
1779341306.9163687,1,0.0,53309440,17
1779341306.9163687,2,0.0,3284992,1
1779341306.9163687,3,0.0,3231744,1
1779341306.9163687,4,0.0,3293184,1
1779341306.9163687,5,0.0,3489792,1
1779341308.2609096,1,0.0,53309440,17
1779341308.2609096,2,0.0,3284992,1
1779341308.2609096,3,0.0,3231744,1
1779341308.2609096,4,0.0,3293184,1
1779341308.2609096,5,0.0,3489792,1
1779341309.6374822,1,0.0,53309440,17
1779341309.6374822,2,0.0,3284992,1
1779341309.6374822,3,0.0,3231744,1
1779341309.6374822,4,0.0,3293184,1
1779341309.6374822,5,0.0,3489792,1
